里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市萬華區新忠里,,0%,73%,7%,20%,34%,0%,12
臺北市萬華區西門里,,0%,0%,0%,42%,0%,0%,12
臺北市萬華區仁德里,,0%,,39%,20%,0%,0%,12
臺北市松山區精忠里,0%,,,30%,27%,0%,0%,12
臺北市北投區福興里,0%,,0%,30%,20%,54%,0%,12
臺北市北投區中和里,,0%,0%,16%,27%,0%,0%,12
臺北市內湖區明湖里,0%,,0%,30%,20%,34%,0%,12
臺北市內湖區秀湖里,,0%,0%,16%,27%,0%,0%,12
臺北市中正區螢雪里,,0%,,7%,42%,34%,1%,12
臺北市中正區三愛里,70%,,,50%,8%,0%,0%,12
臺北市中山區新生里,,0%,0%,16%,27%,0%,0%,12
臺北市中山區行政里,,0%,73%,0%,27%,34%,0%,12
臺北市中山區中吉里,,,0%,50%,14%,0%,0%,12
臺北市大安區龍泉里,,50%,,39%,14%,0%,0%,12
臺北市大安區虎嘯里,,95%,0%,16%,5%,0%,0%,12
臺北市大同區重慶里,,79%,,,42%,54%,1%,12
臺北市士林區東山里,,0%,0%,39%,14%,54%,0%,12
臺北市信義區黎安里,,,43%,0%,34%,34%,0%,11
臺北市信義區西村里,0%,50%,0%,0%,20%,34%,1%,11
臺北市松山區鵬程里,70%,50%,,0%,20%,0%,0%,11
臺北市松山區福成里,0%,,,16%,27%,34%,0%,11
臺北市松山區復建里,,,43%,39%,8%,0%,0%,11
臺北市松山區東勢里,,0%,0%,39%,8%,0%,0%,11
臺北市北投區東華里,0%,0%,,30%,14%,0%,0%,11
臺北市北投區秀山里,,0%,0%,39%,8%,86%,1%,11
臺北市北投區文林里,,,,16%,34%,0%,0%,11
臺北市文山區興泰里,,50%,,16%,20%,0%,1%,11
臺北市文山區樟林里,,0%,0%,16%,20%,0%,0%,11
臺北市內湖區麗山里,0%,,,16%,27%,0%,0%,11
臺北市內湖區南湖里,,0%,0%,30%,14%,0%,0%,11
臺北市內湖區大湖里,,,,7%,42%,0%,0%,11
臺北市中正區富水里,,,43%,39%,8%,54%,63%,11
臺北市中正區光復里,,,0%,16%,27%,0%,0%,11
臺北市中山區復華里,,,,39%,20%,0%,0%,11
臺北市中山區松江里,,0%,,16%,27%,0%,0%,11
臺北市大安區龍門里,,0%,0%,30%,14%,0%,0%,11
臺北市大安區群英里,0%,79%,0%,7%,8%,34%,0%,11
臺北市大安區昌隆里,,0%,,16%,27%,0%,0%,11
臺北市士林區福德里,,,,16%,34%,0%,1%,11
臺北市士林區義信里,,0%,0%,16%,20%,34%,0%,11
臺北市士林區承德里,0%,0%,73%,7%,8%,0%,0%,11
臺北市士林區仁勇里,87%,,,7%,20%,0%,0%,11
臺北市南港區鴻福里,,,73%,7%,14%,0%,0%,10
臺北市信義區永吉里,0%,,,16%,20%,0%,0%,10
臺北市信義區中興里,,,,16%,27%,0%,0%,10
臺北市北投區建民里,,,43%,7%,20%,54%,0%,10
臺北市北投區永明里,0%,0%,0%,16%,8%,0%,0%,10
臺北市內湖區內溝里,0%,79%,,30%,2%,0%,0%,10
臺北市中正區龍光里,,,,7%,34%,34%,0%,10
臺北市中正區永昌里,,0%,,50%,5%,34%,0%,10
臺北市大安區錦泰里,,50%,0%,0%,20%,0%,0%,10
臺北市大安區正聲里,,0%,0%,16%,14%,0%,0%,10
臺北市大安區古莊里,,0%,,7%,27%,0%,0%,10
臺北市松山區美仁里,,,0%,,34%,0%,0%,9
臺北市北投區泉源里,,,,59%,2%,0%,0%,9
臺北市北投區立賢里,70%,,0%,16%,5%,0%,0%,9
臺北市文山區萬年里,70%,,,16%,8%,0%,0%,9
臺北市中正區龍福里,70%,0%,0%,0%,8%,0%,0%,9
臺北市中正區東門里,,,,30%,14%,0%,0%,9
臺北市中正區幸市里,,,,7%,27%,0%,0%,9
臺北市中山區埤頭里,0%,,73%,7%,5%,0%,0%,9
臺北市中山區力行里,0%,0%,,50%,0%,0%,0%,9
臺北市大安區龍雲里,0%,,,30%,8%,0%,0%,9
臺北市大安區龍坡里,,0%,,30%,8%,0%,0%,9
臺北市大安區古風里,,,0%,7%,20%,0%,0%,9
臺北市大安區仁慈里,,50%,0%,0%,14%,0%,1%,9
臺北市士林區永福里,,0%,0%,39%,2%,0%,1%,9
臺北市萬華區福音里,,0%,0%,0%,14%,0%,0%,8
臺北市信義區四維里,,91%,43%,,2%,0%,1%,8
臺北市信義區六藝里,,50%,0%,0%,8%,0%,0%,8
臺北市松山區松基里,0%,,43%,0%,8%,0%,0%,8
臺北市松山區中華里,,0%,,30%,5%,0%,0%,8
臺北市北投區豐年里,,0%,,0%,20%,71%,1%,8
臺北市北投區吉利里,0%,0%,,16%,5%,0%,0%,8
臺北市北投區石牌里,,,,16%,14%,34%,0%,8
臺北市北投區文化里,,,,7%,20%,0%,0%,8
臺北市文山區萬和里,,50%,,,20%,0%,0%,8
臺北市中正區愛國里,,0%,0%,7%,8%,0%,0%,8
臺北市中山區龍洲里,,,,30%,8%,0%,1%,8
臺北市中山區正守里,0%,,,7%,14%,0%,0%,8
臺北市中山區北安里,,,43%,39%,0%,0%,0%,8
臺北市大安區華聲里,,,,16%,14%,0%,0%,8
